,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
0,1018051728802583361660350871032446868333657782855,2,1,1,0.0002442002442002442,0.003030677187980559,F3 <= 0.41
1,171982518954274878349485416184092168691833932185,13,13,0,0.0,0.0,Class 1
2,1036851410135961914347744155038395244186621820916,2,0,2,0.0,0.18480816935873115,F10 > 91.94
3,210108702362974713590394708375792121645124325917,3,1,2,0.0002442002442002442,0.06591722883857715,F4 > 8.1
4,22411337693529633808213828299722199604734380089,3,1,2,0.0009768009768009768,0.04748060927836208,F4 <= 8.1
5,1050202986885610852367102382856683860319531271891,2,1,1,0.0001221001221001221,0.015153385939902795,F10 > 98.71
6,1147257542945440298109815666246017244067397811172,9,9,0,0.0,0.0,Class 0
7,1051587705619350783034616841248848574874286277872,2,1,1,0.0001221001221001221,0.02045707101886877,F10 <= 83.16
8,150913633418211931633209064051558675044205003315,12,12,0,0.0,0.0,Class 3
9,1054467445647375787756799719722827779583538352454,2,1,1,0.0,0.003030677187980559,F1 <= 0.19
10,1073189828646568128288563330492022932141353819501,2,1,1,0.0,0.017426393830888214,F7 <= -0.51
11,1090420691911151459698279267889794561068581856259,2,1,1,0.0001221001221001221,0.016668724533893075,F10 > 91.79
12,1156247298688815270512419690806020243753995388162,3,1,2,0.0003663003663003663,0.06478072489308444,F4 > 8.25
13,1205303558696805676725943904932027322784854335791,3,2,1,0.0003663003663003663,0.015153385939902795,F7 <= -6.25
14,263460646127891977199801421633719499990584292690,3,2,1,0.0002442002442002442,0.037125795552761846,F7 > -6.25
15,1164507058970745106418520350612021064669196054138,2,1,1,0.0002442002442002442,0.016668724533893075,F7 <= -6.11
16,1188604311885640471987003324861502410929469584011,4,0,4,0.0,0.9904920520891629,F2 <= 3.59
17,1313434233402086636876677345048092137250241848011,3,1,2,0.0,0.559589287117377,F7 > -5.93
18,504746907514838600576650585391955309828305464730,2,1,1,0.0001221001221001221,0.021972409612859053,F7 <= -5.93
19,608964521976341546534719557050181194578508538456,3,1,2,0.004517704517704517,0.5560534970647331,F10 <= 99.94
20,73587393540050227646963670648571081636938500829,2,1,1,0.0,0.02273007890985419,F10 > 99.94
21,1192529779060985323355081523641386230088629937690,2,0,2,0.0,0.09698167001537789,F10 <= 91.94
22,544356880341010267305439858964606665660370449217,2,1,1,0.0001221001221001221,0.026518425394829893,F10 > 83.0
23,801746461268029340010302208509213453666683217653,2,1,1,0.0001221001221001221,0.021972409612859053,F10 <= 83.0
24,1210917972652809123035224022531183290788356533549,2,1,1,0.0003663003663003663,0.007576692969951397,F2 <= 3.57
25,1244678420282288826601898760293065538953902727856,2,1,1,0.0002442002442002442,0.014395716642907655,F7 <= 4.3
26,928621589127927934620961952074257259595278295629,17,17,0,0.0,0.0,Class 2
27,1256224404869966519136971908754448235554657060199,2,1,1,0.0,0.012880378048917375,F8 > 29.76
28,1278980602341633578978962322623891900218774730523,3,1,2,0.004884004884004884,0.10910437876730011,F4 > 10.33
