,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1006640054530528340199507392993913081748980666146,2,1,1,0.0047919588592800376,0.008230063380947877,sepal width (cm) > 3.15,0
1,1108284587209633518153894353392412821949240690791,2,1,1,0.0001168770453482936,0.004115031690473938,petal width (cm) > 2.0,0
2,1051070654468661448230167946424000982611075990612,4,3,1,0.0,0.022861287169299655,petal width (cm) <= 1.35,1
3,171982518954274878349485416184092168691833932185,30,30,0,0.0,0.0,Class 1,1
4,1061592860778981203838902738146432072900535981568,3,1,2,0.006895745675549322,0.7955639029910622,sepal length (cm) > 6.15,0
5,115703319073283223347785747389613639958831620673,11,4,7,0.05236091631603553,0.8887000611636406,petal length (cm) <= 5.05,1
6,633031963994994663144428548331584325192191038390,6,3,3,0.0010518934081346423,0.11492369060006936,petal length (cm) > 5.05,0
7,1077562467753531354159300641021342371185593408364,2,1,1,0.023258532024310427,0.6484533344444895,sepal length (cm) <= 6.4,1
8,709333501413915191414856072311989723936740081826,15,5,10,0.09554698457223001,0.8220815445971534,petal width (cm) <= 1.55,1
9,1086220596677629057317531353088711431311613406518,8,5,3,0.04867928938756429,0.9517458665741705,petal length (cm) > 4.95,0
10,155464794904682121003216718812875204058849495720,8,2,6,0.0701846657316503,1.2922113959574937,petal width (cm) <= 1.65,1
11,311621331291508589808180961190090468222914004540,5,4,1,0.0004675081813931744,0.01783180399205373,petal width (cm) > 1.7,0
12,928621589127927934620961952074257259595278295629,22,22,0,0.0,0.0,Class 2,0
13,1087486461300096569036257876195868572975117627130,2,1,1,0.016012155212716223,0.7321993096316718,sepal length (cm) > 6.2,1
14,1129247427440165188471951093965145123060368111123,2,0,2,0.0,0.8100427181982853,sepal length (cm) <= 5.55,2
15,189545914041350846568929505190730729239317204349,3,2,1,0.0,0.04115031690473938,petal width (cm) <= 0.7,2
16,92880519255116869050997421623503280872342821336,6,2,4,0.010285179990649837,0.9213229365154444,petal width (cm) > 0.7,1
17,1155626338342785993756224741462529235742838921570,8,5,3,0.0201028517999065,0.9701366834691495,petal length (cm) <= 4.95,1
